parameterization_id,SeedYr HIGH,BaseInfectivity,SexualDebutAgeFemaleWeibullScale,SexualDebutAgeFemaleWeibullHeterogeneity,SexualDebutAgeMaleWeibullScale,SexualDebutAgeMaleWeibullHeterogeneity,TransitoryFormationRate,InfmormalFormationRate,MaritalFormationRate,MaleToFemaleYoung,MaleToFemaleOld,TransitoryCondomMid,TransitoryCondomRate,TransitoryCondomMax,InformalCondomMid,InformalCondomRate,InformalCondomsMax,MaritalCondomMid,MaritalCondomRate,MaritalCondomMax,RiskAssortivity,ProbExtraTransitoryMaleLow,ProbExtraTransitoryMaleMedium,ProbExtraTransitoryFemaleLow,ProbExtraTransitoryFemaleMedium,ProbExtraInformalMaleLow,ProbExtraInformalFemaleLow,MaximumTransitoryMaleLow,MaximumTransitoryFemaleLow,MaximumInformalMaleLow,MaximumInformalFemaleLow,ProbExtraInformalMaleMedium,ProbExtraInformalFemaleMedium,MaximumTransitoryMaleMedium,MaximumTransitoryFemaleMedium,MaximumInformalMaleMedium,MaximumInformalFemaleMedium,MaximumMaritalMaleMedium,MaximumMaritalFemaleMedium,InformalDurationHeterogeneity,Homa_BayTransitoryCondomsMax,Homa_BayInformalCondomsMax,Homa_BayPropLowRisk,KisiiTransitoryCondomsMax,KisiiInformalCondomsMax,KisiiPropLowRisk,KisumuTransitoryCondomsMax,KisumuInformalCondomsMax,KisumuPropLowRisk,MigoriTransitoryCondomsMax,MigoriInformalCondomsMax,MigoriPropLowRisk,NyamiraTransitoryCondomsMax,NyamiraInformalCondomsMax,NyamiraPropLowRisk,SiayaTransitoryCondomsMax,SiayaInformalCondomsMax,SiayaPropLowRisk,PreARTLinkMinimum,PreARTLinkMaximum,PreARTLinkMid,ARTLinkMax,ARTLinkMid,run_number,iteration_number,sim_id,likelihood
1,1982,0.000594219,15.12252666,0.063356251,15.63387277,0.292931858,0.002304604,9.13E-05,6.52E-05,2.445910621,2.695257881,1993.021085,0.054726823,0.047562402,2005,2.762079115,0.277988014,1994.023879,0,0.293729041,0.346637723,0.086085726,0.497094483,0.072692312,0.450219982,0.59290757,0.088819606,1.444944945,1.444944945,1.830131515,1.830131515,0.334740543,0.47731092,1.925715706,1.925715706,2.864468174,2.864468174,0.93143036,0.93143036,0.75,0.433707897,0.253131389,0.5,0.380926621,0.241192895,0.731577034,0.164661964,0.078387503,0.562088661,0.049984037,0.092862176,0.744394877,0.200742786,0.344974616,0.52533476,0.5,0.226311204,0.5,0.10605027,0.629342183,2000.341977,1,1999.045543,29,-1,,1
2,1982,0.000820992,15.02571092,0.048835916,15.2989684,0.210504895,0.001343005,9.13E-05,5.48E-05,2.934638389,2.695257881,1996.377595,0.051514003,0.217815401,2002.431027,1.957156347,0.013039968,1997.070453,1.95537507,0.277640058,0.637662269,0.064406364,0.771235983,0.082514808,0.738612766,0.250150737,0.5,1.865793601,1.865793601,1.301917957,1.301917957,0.38913395,0.427353722,3,3,2.710416142,2.710416142,0.998597791,0.998597791,0.75,0.097880499,0.074973271,0.570738267,0.46588527,0.173647434,0.920257024,0.339904562,0.221648747,0.627403246,0.315795776,0.217726636,0.874151512,0.34997934,0.39885357,0.75769652,0.34761735,0.252120625,0.5,0.386199398,0.487680503,2000.343738,1,1995.435808,11327,-1,,1
3,1982,0.000596852,15.52686749,0.04,15.33793423,0.263398758,0.001783607,9.13E-05,5.65E-05,2.506534402,2.695257881,1996.444305,0,0.035633445,2001.077849,2.412637276,0.150503007,1993.852941,0.508383772,0.26122508,0.412839162,0.132209659,0.689728609,0.077060112,0.675840305,0.459059078,0.178628723,1.831481237,1.831481237,1.918922322,1.918922322,0.41155696,0.454478849,2.558572644,2.558572644,2.991777165,2.991777165,1.343787795,1.343787795,0.75,0.365154543,0.180566707,0.580232789,0.458235397,0.240024083,0.773912911,0.117385683,0.194291265,0.521712746,0.072442254,0.019682661,0.738340345,0.393176849,0.336792913,0.613682082,0.476733883,0.181320597,0.516158382,0.208315442,0.636316009,2002.370872,1,2003.457785,33491,-1,,1
4,1982,0.000708282,15.07654122,0.058493897,15.27801233,0.227422264,0.001580968,9.13E-05,5.48E-05,3.153070396,2.695257881,1997.66565,0.12613768,0.150358402,1999.029,2.280177713,0.026452356,1994.680435,2.0049919,0.227274838,0.671489488,0,0.622091532,0.095280528,0.8,0.283512817,0.446102435,1.893162276,1.893162276,1.485978054,1.485978054,0.338316482,0.432325184,2.860391907,2.860391907,2.787506534,2.787506534,0.977420904,0.977420904,0.75,0.132484271,0.117698567,0.581792099,0.475108558,0.242719084,0.832555225,0.353586608,0.278806575,0.712755581,0.300129397,0.306232429,0.788456036,0.357921208,0.4,0.830238187,0.370113022,0.265317721,0.536586001,0.485049509,0.488048236,1999.226663,1,1998.204213,12008,-1,,1
5,1982,0.000628228,15,0.099468765,15.02029031,0.075571019,0.001437027,0.000114469,5.48E-05,2.100452307,2.695257881,1999.9491,0.214542812,0.196325521,2003.878346,2.02011451,0.119481159,1995.824438,1.50768377,0.214373897,0.649198905,0.115424363,0.8,0.116766494,0.692670016,0.285477245,0.49529284,1.704095751,1.704095751,1.422641356,1.422641356,0.352437865,0.382623503,3,3,2.452798541,2.452798541,0.907425658,0.907425658,0.75,0.208976323,0.094032958,0.57096047,0.473918477,0.216251231,0.935504859,0.292148849,0.243777161,0.640704178,0.344700188,0.265158001,0.806344427,0.298823501,0.34396269,0.739485394,0.293574009,0.214316294,0.546104084,0.703097928,0.748133832,2005.740581,0.99275149,1995.772069,23234,-1,,1
6,1982,0.000540464,15,0.04,15.17220947,0.25213799,0.002176868,9.13E-05,6.46E-05,2.932283515,2.695257881,1995.475745,0.01714921,0.046340729,2000.755083,2.848401992,0.117350451,1991.321851,1.356716062,0.191391319,0.364455209,0.091294813,0.729030282,0.060149067,0.64325666,0.412719711,0.291926584,1.968927003,1.968927003,1.63821878,1.63821878,0.498131682,0.484210278,3,3,2.841825844,2.841825844,1.224036703,1.224036703,0.75,0.349241958,0.087854785,0.520246207,0.481832702,0.133954857,0.694420518,0.167438867,0.174773914,0.630129343,0.118227628,0.138988508,0.772752181,0.386805286,0.343439654,0.778806462,0.391520688,0.258032549,0.523963859,0.203273378,0.567797568,1998.844629,0.998360611,2004.33046,9840,-1,,1
7,1982,0.000781761,15,0.04,15.12550214,0.224347222,0.001423807,9.13E-05,5.48E-05,2.555770631,2.695257881,1996.530626,0,0.158142008,2002.157524,2.204790905,0.004647856,1997.746857,2.147680661,0.267170234,0.596876825,0.044521749,0.75020512,0.095592796,0.762627375,0.27957763,0.5,1.949868882,1.949868882,1.428243733,1.428243733,0.348146788,0.448320986,2.936361424,2.936361424,2.486308834,2.486308834,0.9,0.9,0.75,0.095756095,0.072560568,0.597231232,0.448705037,0.165434745,0.88687376,0.35432284,0.238645746,0.681820152,0.28101194,0.248549252,0.865092385,0.335278063,0.378073133,0.769086781,0.406343346,0.256826313,0.538710667,0.435390625,0.445402816,1999.320583,1,1995,57608,-1,,1
8,1982,0.000594219,15.12252666,0.063356251,15.63387277,0.292931858,0.002304604,9.13E-05,6.52E-05,2.445910621,2.695257881,1993.021085,0.054726823,0.047562402,2005,2.762079115,0.277988014,1994.023879,0,0.293729041,0.346637723,0.086085726,0.497094483,0.072692312,0.450219982,0.59290757,0.088819606,1.444944945,1.444944945,1.830131515,1.830131515,0.334740543,0.47731092,1.925715706,1.925715706,2.864468174,2.864468174,0.93143036,0.93143036,0.75,0.433707897,0.253131389,0.5,0.380926621,0.241192895,0.731577034,0.164661964,0.078387503,0.562088661,0.049984037,0.092862176,0.744394877,0.200742786,0.344974616,0.52533476,0.5,0.226311204,0.5,0.10605027,0.629342183,2000.341977,1,1999.045543,41815,-1,,1
9,1982,0.000594207,15.20805726,0.051189967,15.84484741,0.255088287,0.00220125,0.000100948,5.83E-05,1.971088576,2.695257881,1993.28248,0,0.037810079,2004.68414,2.842494648,0.275204385,1993.895116,0.021069527,0.271897603,0.350888612,0.119649614,0.530985259,0.090966823,0.441252857,0.59828506,0.092265772,1.562695575,1.562695575,1.7782346,1.7782346,0.375209799,0.450700245,1.983120099,1.983120099,2.932515976,2.932515976,0.9,0.9,0.75,0.424507793,0.245675612,0.519596813,0.395039871,0.222553197,0.767842222,0.131458112,0.069135356,0.587501695,0.076803352,0.044765444,0.77691209,0.21086257,0.337971543,0.580224552,0.499264424,0.230073718,0.536024283,0.082094878,0.73454712,2000.89846,1,1999.310161,57602,-1,,1
10,1982,0.000556847,15.16381044,0.055999109,16.04820393,0.265008056,0.002553208,9.20E-05,8.33E-05,2.969985,2.695257881,1993.144787,0,0,2003.526224,2.263460297,0.272675811,1991.329159,0,0.286378908,0.433501938,0.05955869,0.639770191,0.090154207,0.621637743,0.511786344,0.08868714,1.590753206,1.590753206,1.857915229,1.857915229,0.418378589,0.472219209,2.210724379,2.210724379,2.931660439,2.931660439,0.974386909,0.974386909,0.75,0.4260075,0.29988471,0.523848551,0.468052286,0.282866641,0.724813575,0.122712789,0.039252791,0.5,0.119928863,0.109337715,0.680755756,0.294158667,0.279336763,0.50815307,0.473004863,0.232048199,0.533695336,0.199734643,0.549642422,2000.121629,1,2000.504815,25457,-1,,1
