parameterization_id,iteration_number,sim_id,likelihood,ARTLinkMax,ARTLinkMid,BaseInfectivity,HomaBayInformalCondomsMax,HomaBayPropLowRisk,HomaBayTransitoryCondomsMax,InfmormalFormationRate,InformalCondomMid,InformalCondomRate,InformalCondomsMax,InformalDurationHeterogeneity,KisiiInformalCondomsMax,KisiiPropLowRisk,KisiiTransitoryCondomsMax,KisumuInformalCondomsMax,KisumuPropLowRisk,KisumuTransitoryCondomsMax,MaleToFemaleOld,MaleToFemaleYoung,MaximumInformalFemaleLow,MaximumInformalFemaleMedium,MaximumInformalMaleLow,MaximumInformalMaleMedium,MaximumMaritalFemaleMedium,MaximumMaritalMaleMedium,MaximumTransitoryFemaleLow,MaximumTransitoryFemaleMedium,MaximumTransitoryMaleLow,MaximumTransitoryMaleMedium,MigoriInformalCondomsMax,MigoriPropLowRisk,MigoriTransitoryCondomsMax,MaritalCondomMax,MaritalCondomMid,MaritalCondomRate,MaritalFormationRate,NyamiraInformalCondomsMax,NyamiraPropLowRisk,NyamiraTransitoryCondomsMax,ProbExtraInformalFemaleLow,ProbExtraInformalFemaleMedium,ProbExtraInformalMaleLow,ProbExtraInformalMaleMedium,ProbExtraTransitoryFemaleLow,ProbExtraTransitoryFemaleMedium,ProbExtraTransitoryMaleLow,ProbExtraTransitoryMaleMedium,PreARTLinkMaximum,PreARTLinkMid,PreARTLinkMinimum,RiskAssortivity,SeedYearHigh,SexualDebutAgeFemaleWeibullHeterogeneity,SexualDebutAgeFemaleWeibullScale,SexualDebutAgeMaleWeibullHeterogeneity,SexualDebutAgeMaleWeibullScale,SiayaInformalCondomsMax,SiayaPropLowRisk,SiayaTransitoryCondomsMax,TransitoryCondomMax,TransitoryCondomMid,TransitoryCondomRate,TransitoryFormationRate,run_number
1,-1,333f4500-f9dc-e811-a2bd-c4346bcb1555,4.46E+42,1,2002.919781,0.001600942,0.229769252,0.556994003,0.233762251,0.000139021,1998.634931,1.746406779,0.21723151,0.75,0.22714524,0.934647931,0.369377899,0.180971429,0.764163028,0.346957998,1.400118909,1.148839686,1.240136561,2.487901752,1.161350995,2.734572636,1.135504768,1.310392723,1.618856619,3,1.701438225,2.95126572,0.186705492,0.797272242,0.257054452,0.191459634,1995.672231,2.047109945,5.48E-05,0.092896593,0.899365277,0.304420899,0.363899423,0.407351476,0.233374491,0.379548192,0.032665899,0.467991823,0.32760644,0.609470027,0.735024259,2002.520249,0.415775648,0.638836542,1982,0.085911979,16.03553126,0.04,16.08972574,0.1605249,0.726122395,0.305903644,0.245522669,1997.959517,1.804323307,0.001363426,42397
4,-1,afddbf1f-f9dc-e811-a2bd-c4346bcb1555,4.36E+42,1,2003.016697,0.001619496,0.231586276,0.56617474,0.225320665,9.13E-05,1998.2275,1.765538028,0.233447827,0.75,0.195074519,0.938990349,0.375187397,0.192646725,0.764214313,0.345183861,1.477403558,1.218907389,1.251661635,2.546654377,1.119205582,2.712714658,1.103149724,1.335605895,1.640303381,3,1.674534913,3,0.213775825,0.787823831,0.255069681,0.195038612,1995.223226,2.150820123,6.27E-05,0.106715296,0.929383178,0.32446461,0.353528916,0.394008901,0.237799066,0.390111927,0.038739333,0.467185909,0.306009785,0.644301123,0.724812691,2003.114821,0.354401473,0.661040816,1982,0.087053625,15.95861836,0.049921303,16.09527776,0.146329994,0.745320158,0.335782686,0.25572062,1997.812238,1.859494015,0.001380667,54292
7,-1,09bd327d-f8dc-e811-a2bd-c4346bcb1555,4.36E+42,1,2002.754633,0.001564923,0.240384676,0.570587455,0.21777139,9.13E-05,1997.948608,1.815222358,0.219895206,0.75,0.235897366,0.947987402,0.359363267,0.151289767,0.766271972,0.327396844,1.605398381,1.175138921,1.224773082,2.613019273,1.078378278,2.787331087,1.12772081,1.291166885,1.689176377,2.931875497,1.710058202,2.932634326,0.196113525,0.776089077,0.265426096,0.189964281,1995.786909,2.059363953,5.48E-05,0.106109584,0.912046558,0.295994898,0.350768849,0.386373118,0.245180169,0.40498084,0.038485864,0.473856109,0.333212033,0.639934953,0.736202672,2002.208766,0.370217087,0.612515475,1982,0.080016651,16.11212293,0.04,15.980077,0.13921266,0.735968925,0.30698637,0.28184653,1998.05241,1.883694837,0.00144205,38357
10,-1,d6b6ba6b-3adc-e811-a2bd-c4346bcb1555,4.32E+42,1,2003.230879,0.001601789,0.22639906,0.568829974,0.241724422,9.13E-05,1998.426136,1.764549689,0.22724066,0.75,0.218878711,0.945567996,0.357425831,0.182088716,0.762137447,0.350548816,1.542704689,1.220598737,1.229852183,2.512625701,1.109538499,2.764839293,1.116439331,1.315002647,1.662593042,2.984988771,1.708121425,3,0.199130092,0.784181018,0.260225673,0.188692774,1995.81519,2.12146665,5.63E-05,0.108397723,0.935072147,0.299335426,0.354299886,0.394674184,0.255029675,0.407355469,0.033636744,0.459609203,0.318203422,0.633349793,0.72413144,2002.829988,0.401744972,0.659565139,1982,0.085287804,16.01150268,0.040159194,16.04291722,0.145742112,0.723383669,0.326571965,0.270541945,1997.869552,1.921685332,0.00139006,611
16,-1,2bccb8be-f8dc-e811-a2bd-c4346bcb1555,4.28E+42,0.993434659,2003.218264,0.001664175,0.210839853,0.587122834,0.243127293,0.000102313,1998.073167,1.807992509,0.214337438,0.75,0.200650483,0.95,0.370283062,0.196998603,0.775992291,0.35893937,1.534870804,1.426816643,1.245015756,2.479053236,1.12171565,2.805485995,1.149225723,1.286920513,1.692981474,3,1.688379266,3,0.19069087,0.781935442,0.250286926,0.189834955,1995.609963,2.243569337,6.33E-05,0.099776553,0.916954764,0.314487107,0.356978485,0.405656697,0.265390576,0.412537762,0.033395821,0.454306155,0.311093122,0.631402111,0.737749817,2003.119389,0.385424506,0.665604163,1982,0.076794069,16.20597226,0.04,15.99964235,0.151878094,0.734101695,0.345940805,0.264802936,1997.477752,1.8114239,0.001232823,13796
19,-1,a92c929b-f8dc-e811-a2bd-c4346bcb1555,4.25E+42,1,2003.273364,0.001646269,0.217854682,0.575052565,0.247301764,0.000150075,1999.227205,1.823259632,0.240100247,0.75,0.214077144,0.941205907,0.34906444,0.170715052,0.75670071,0.344776552,1.404052021,1.029867209,1.268191647,2.607826684,1.081004215,2.764846298,1.080174709,1.27853705,1.69313817,2.952578034,1.724069921,2.912112865,0.19907328,0.769961363,0.263788263,0.203925169,1995.870284,1.995692843,5.98E-05,0.101125718,0.935021765,0.283814199,0.3583078,0.406353235,0.23966007,0.372575258,0.042724329,0.424729817,0.329377652,0.621703467,0.700589642,2002.818419,0.358468046,0.662694996,1982,0.092519904,16.0845156,0.04,16.31225134,0.157994463,0.717235265,0.341498464,0.26234133,1997.583155,1.939914887,0.001344842,30552
22,-1,391fc81c-fadc-e811-a2bd-c4346bcb1555,4.25E+42,0.995798024,2003.017204,0.001571137,0.226177511,0.563589702,0.23615068,9.18E-05,1998.887195,1.703814307,0.219097064,0.75,0.220678312,0.95,0.339967469,0.195269698,0.760064492,0.338165499,1.734363483,1.086663282,1.22049776,2.542969796,1.107028218,2.761994458,1.162009622,1.361138134,1.639826644,3,1.771307109,3,0.211144642,0.779153588,0.249570541,0.185619181,1996.024165,2.10722304,6.28E-05,0.117239796,0.919947714,0.29818438,0.373394216,0.384518462,0.272159341,0.411325405,0.03258082,0.489436408,0.315424191,0.646380936,0.706995511,2003.213842,0.377650483,0.670001416,1982,0.099267471,16.0047049,0.043711942,15.89156893,0.150297306,0.717392023,0.340362705,0.279583664,1998.011439,1.856168107,0.001327644,59763
25,-1,2edd527f-f9dc-e811-a2bd-c4346bcb1555,4.24E+42,1,2003.030744,0.001586729,0.224907754,0.561736346,0.242765445,0.000107462,1997.676416,1.875737256,0.224332446,0.75,0.224234103,0.943161841,0.359487634,0.174649982,0.759441905,0.352763883,1.557177624,1.371731624,1.236722593,2.430551727,1.105683882,2.873226313,1.129567565,1.298654081,1.658817115,2.929193794,1.668165178,2.961459024,0.20359308,0.791526219,0.283775754,0.203768558,1995.814397,2.071308735,5.94E-05,0.110545724,0.932009206,0.287748268,0.347041576,0.393618367,0.242523562,0.414697215,0.039611888,0.435028483,0.298971682,0.662368568,0.705037583,2002.04454,0.447002487,0.667955311,1982,0.091661823,16.22607033,0.04,15.95678172,0.151456963,0.715883718,0.349024717,0.272559255,1997.791097,1.995803831,0.001348452,730
28,-1,52b2428c-f9dc-e811-a2bd-c4346bcb1555,4.24E+42,1,2003.074514,0.001606066,0.228464698,0.564459272,0.277646702,0.000113999,1997.849484,1.72161237,0.247048903,0.75,0.229742582,0.933433683,0.361163446,0.157217912,0.777198677,0.361787124,1.543894794,1.309494348,1.216048582,2.46754172,1.161224309,2.708494879,1.081546266,1.288654496,1.707896631,2.955787754,1.749086462,2.954416551,0.196219581,0.794690805,0.247774533,0.183692652,1996.602487,1.996264267,5.50E-05,0.094467766,0.945092676,0.300914938,0.352620305,0.404740054,0.247081737,0.41922211,0.038127055,0.455484146,0.297717775,0.621757469,0.837986259,2003.21162,0.406785734,0.690995801,1982,0.078817562,15.89087238,0.04,15.92368093,0.158963412,0.722343703,0.314196827,0.275831351,1997.767365,1.992578879,0.001397284,31016
31,-1,eff4b53d-bbda-e811-a2bd-c4346bcb1555,4.23E+42,1,2003.277739,0.001548369,0.19743455,0.599082602,0.225484891,9.13E-05,1998.186276,1.68800098,0.219422899,0.75,0.207686177,0.95,0.330138369,0.166409579,0.771355421,0.336378919,1.880086816,1.294904755,1.214443914,2.473208969,1.138951133,2.682544195,1.123133653,1.337630592,1.601554384,2.991920806,1.710612678,3,0.208821924,0.815763386,0.269506264,0.192294904,1996.115976,2.037104472,5.48E-05,0.129699935,0.940998012,0.265942502,0.365644274,0.392684044,0.250162291,0.429791081,0.026503513,0.506603928,0.31918537,0.63836058,0.776838076,2002.733079,0.390296738,0.652947222,1982,0.078942674,16.43407922,0.052991481,15.91031282,0.14997511,0.712044537,0.320809149,0.280577175,1997.591943,1.949772799,0.00145528,1322
