"parameterization_id","SeedYr HIGH","BaseInfectivity","SexualDebutAgeFemaleWeibullScale","SexualDebutAgeFemaleWeibullHeterogeneity","SexualDebutAgeMaleWeibullScale","SexualDebutAgeMaleWeibullHeterogeneity","TransitoryFormationRate","InfmormalFormationRate","MaritalFormationRate","MaleToFemaleYoung","MaleToFemaleOld","TransitoryCondomMid","TransitoryCondomRate","TransitoryCondomMax","InformalCondomMid","InformalCondomRate","InformalCondomsMax","MaritalCondomMid","MaritalCondomRate","MaritalCondomMax","RiskAssortivity","ProbExtraTransitoryMaleLow","ProbExtraTransitoryMaleMedium","ProbExtraTransitoryFemaleLow","ProbExtraTransitoryFemaleMedium","ProbExtraInformalMaleLow","ProbExtraInformalFemaleLow","MaximumTransitoryMaleLow","MaximumTransitoryFemaleLow","MaximumInformalMaleLow","MaximumInformalFemaleLow","ProbExtraInformalMaleMedium","ProbExtraInformalFemaleMedium","MaximumTransitoryMaleMedium","MaximumTransitoryFemaleMedium","MaximumInformalMaleMedium","MaximumInformalFemaleMedium","MaximumMaritalMaleMedium","MaximumMaritalFemaleMedium","InformalDurationHeterogeneity","Homa_BayTransitoryCondomsMax","Homa_BayInformalCondomsMax","Homa_BayPropLowRisk","KisiiTransitoryCondomsMax","KisiiInformalCondomsMax","KisiiPropLowRisk","KisumuTransitoryCondomsMax","KisumuInformalCondomsMax","KisumuPropLowRisk","MigoriTransitoryCondomsMax","MigoriInformalCondomsMax","MigoriPropLowRisk","NyamiraTransitoryCondomsMax","NyamiraInformalCondomsMax","NyamiraPropLowRisk","SiayaTransitoryCondomsMax","SiayaInformalCondomsMax","SiayaPropLowRisk","PreARTLinkMinimum","PreARTLinkMaximum","PreARTLinkMid","ARTLinkMax","ARTLinkMid","run_number","iteration_number","sim_id","likelihood"
1,1982,0.0013,16.03553126,0.085911979,16.08972574,0.04,0.001363426,0.000139021,5.48e-05,1.148839686,1.400118909,1997.959517,1.804323307,0.245522669,1998.634931,1.746406779,0.21723151,1995.672231,2.047109945,0.191459634,0.638836542,0.32760644,0.609470027,0.032665899,0.467991823,0.233374491,0.363899423,1.701438225,1.618856619,1.161350995,1.240136561,0.379548192,0.407351476,2.95126572,3,2.734572636,2.487901752,1.310392723,1.135504768,0.75,0.233762251,0.229769252,0.556994003,0.369377899,0.22714524,0.934647931,0.346957998,0.180971429,0.764163028,0.257054452,0.186705492,0.797272242,0.304420899,0.092896593,0.899365277,0.305903644,0.1605249,0.726122395,0.415775648,0.735024259,2002.520249,1,2002.919781,42397,-1,NA,1
4,1982,0.0013,15.95861836,0.087053625,16.09527776,0.049921303,0.001380667,9.13e-05,6.27e-05,1.218907389,1.477403558,1997.812238,1.859494015,0.25572062,1998.2275,1.765538028,0.233447827,1995.223226,2.150820123,0.195038612,0.661040816,0.306009785,0.644301123,0.038739333,0.467185909,0.237799066,0.353528916,1.674534913,1.640303381,1.119205582,1.251661635,0.390111927,0.394008901,3,3,2.712714658,2.546654377,1.335605895,1.103149724,0.75,0.225320665,0.231586276,0.56617474,0.375187397,0.195074519,0.938990349,0.345183861,0.192646725,0.764214313,0.255069681,0.213775825,0.787823831,0.32446461,0.106715296,0.929383178,0.335782686,0.146329994,0.745320158,0.354401473,0.724812691,2003.114821,1,2003.016697,54292,-1,NA,1
7,1982,0.0013,16.11212293,0.080016651,15.980077,0.04,0.00144205,9.13e-05,5.48e-05,1.175138921,1.605398381,1998.05241,1.883694837,0.28184653,1997.948608,1.815222358,0.219895206,1995.786909,2.059363953,0.189964281,0.612515475,0.333212033,0.639934953,0.038485864,0.473856109,0.245180169,0.350768849,1.710058202,1.689176377,1.078378278,1.224773082,0.40498084,0.386373118,2.932634326,2.931875497,2.787331087,2.613019273,1.291166885,1.12772081,0.75,0.21777139,0.240384676,0.570587455,0.359363267,0.235897366,0.947987402,0.327396844,0.151289767,0.766271972,0.265426096,0.196113525,0.776089077,0.295994898,0.106109584,0.912046558,0.30698637,0.13921266,0.735968925,0.370217087,0.736202672,2002.208766,1,2002.754633,38357,-1,NA,1
10,1982,0.0013,16.01150268,0.085287804,16.04291722,0.040159194,0.00139006,9.13e-05,5.63e-05,1.220598737,1.542704689,1997.869552,1.921685332,0.270541945,1998.426136,1.764549689,0.22724066,1995.81519,2.12146665,0.188692774,0.659565139,0.318203422,0.633349793,0.033636744,0.459609203,0.255029675,0.354299886,1.708121425,1.662593042,1.109538499,1.229852183,0.407355469,0.394674184,3,2.984988771,2.764839293,2.512625701,1.315002647,1.116439331,0.75,0.241724422,0.22639906,0.568829974,0.357425831,0.218878711,0.945567996,0.350548816,0.182088716,0.762137447,0.260225673,0.199130092,0.784181018,0.299335426,0.108397723,0.935072147,0.326571965,0.145742112,0.723383669,0.401744972,0.72413144,2002.829988,1,2003.230879,611,-1,NA,1
16,1982,0.0013,16.20597226,0.076794069,15.99964235,0.04,0.001232823,0.000102313,6.33e-05,1.426816643,1.534870804,1997.477752,1.8114239,0.264802936,1998.073167,1.807992509,0.214337438,1995.609963,2.243569337,0.189834955,0.665604163,0.311093122,0.631402111,0.033395821,0.454306155,0.265390576,0.356978485,1.688379266,1.692981474,1.12171565,1.245015756,0.412537762,0.405656697,3,3,2.805485995,2.479053236,1.286920513,1.149225723,0.75,0.243127293,0.210839853,0.587122834,0.370283062,0.200650483,0.95,0.35893937,0.196998603,0.775992291,0.250286926,0.19069087,0.781935442,0.314487107,0.099776553,0.916954764,0.345940805,0.151878094,0.734101695,0.385424506,0.737749817,2003.119389,0.993434659,2003.218264,13796,-1,NA,1
19,1982,0.0013,16.0845156,0.092519904,16.31225134,0.04,0.001344842,0.000150075,5.98e-05,1.029867209,1.404052021,1997.583155,1.939914887,0.26234133,1999.227205,1.823259632,0.240100247,1995.870284,1.995692843,0.203925169,0.662694996,0.329377652,0.621703467,0.042724329,0.424729817,0.23966007,0.3583078,1.724069921,1.69313817,1.081004215,1.268191647,0.372575258,0.406353235,2.912112865,2.952578034,2.764846298,2.607826684,1.27853705,1.080174709,0.75,0.247301764,0.217854682,0.575052565,0.34906444,0.214077144,0.941205907,0.344776552,0.170715052,0.75670071,0.263788263,0.19907328,0.769961363,0.283814199,0.101125718,0.935021765,0.341498464,0.157994463,0.717235265,0.358468046,0.700589642,2002.818419,1,2003.273364,30552,-1,NA,1
22,1982,0.0013,16.0047049,0.099267471,15.89156893,0.043711942,0.001327644,9.18e-05,6.28e-05,1.086663282,1.734363483,1998.011439,1.856168107,0.279583664,1998.887195,1.703814307,0.219097064,1996.024165,2.10722304,0.185619181,0.670001416,0.315424191,0.646380936,0.03258082,0.489436408,0.272159341,0.373394216,1.771307109,1.639826644,1.107028218,1.22049776,0.411325405,0.384518462,3,3,2.761994458,2.542969796,1.361138134,1.162009622,0.75,0.23615068,0.226177511,0.563589702,0.339967469,0.220678312,0.95,0.338165499,0.195269698,0.760064492,0.249570541,0.211144642,0.779153588,0.29818438,0.117239796,0.919947714,0.340362705,0.150297306,0.717392023,0.377650483,0.706995511,2003.213842,0.995798024,2003.017204,59763,-1,NA,1
25,1982,0.0013,16.22607033,0.091661823,15.95678172,0.04,0.001348452,0.000107462,5.94e-05,1.371731624,1.557177624,1997.791097,1.995803831,0.272559255,1997.676416,1.875737256,0.224332446,1995.814397,2.071308735,0.203768558,0.667955311,0.298971682,0.662368568,0.039611888,0.435028483,0.242523562,0.347041576,1.668165178,1.658817115,1.105683882,1.236722593,0.414697215,0.393618367,2.961459024,2.929193794,2.873226313,2.430551727,1.298654081,1.129567565,0.75,0.242765445,0.224907754,0.561736346,0.359487634,0.224234103,0.943161841,0.352763883,0.174649982,0.759441905,0.283775754,0.20359308,0.791526219,0.287748268,0.110545724,0.932009206,0.349024717,0.151456963,0.715883718,0.447002487,0.705037583,2002.04454,1,2003.030744,730,-1,NA,1
28,1982,0.0013,15.89087238,0.078817562,15.92368093,0.04,0.001397284,0.000113999,5.5e-05,1.309494348,1.543894794,1997.767365,1.992578879,0.275831351,1997.849484,1.72161237,0.247048903,1996.602487,1.996264267,0.183692652,0.690995801,0.297717775,0.621757469,0.038127055,0.455484146,0.247081737,0.352620305,1.749086462,1.707896631,1.161224309,1.216048582,0.41922211,0.404740054,2.954416551,2.955787754,2.708494879,2.46754172,1.288654496,1.081546266,0.75,0.277646702,0.228464698,0.564459272,0.361163446,0.229742582,0.933433683,0.361787124,0.157217912,0.777198677,0.247774533,0.196219581,0.794690805,0.300914938,0.094467766,0.945092676,0.314196827,0.158963412,0.722343703,0.406785734,0.837986259,2003.21162,1,2003.074514,31016,-1,NA,1
31,1982,0.0013,16.43407922,0.078942674,15.91031282,0.052991481,0.00145528,9.13e-05,5.48e-05,1.294904755,1.880086816,1997.591943,1.949772799,0.280577175,1998.186276,1.68800098,0.219422899,1996.115976,2.037104472,0.192294904,0.652947222,0.31918537,0.63836058,0.026503513,0.506603928,0.250162291,0.365644274,1.710612678,1.601554384,1.138951133,1.214443914,0.429791081,0.392684044,3,2.991920806,2.682544195,2.473208969,1.337630592,1.123133653,0.75,0.225484891,0.19743455,0.599082602,0.330138369,0.207686177,0.95,0.336378919,0.166409579,0.771355421,0.269506264,0.208821924,0.815763386,0.265942502,0.129699935,0.940998012,0.320809149,0.14997511,0.712044537,0.390296738,0.776838076,2002.733079,1,2003.277739,1322,-1,NA,1
